				84.58108	126.71892	189.73981	239.87113	277.65227	351.65667	373.01557	398.46369	418.47809	457.92282	503.87612	552.2216	599.74212	614.42448	678.89253	737.43285	740.05135	761.1314	772.7144	780.73352	805.20648	847.0808	856.72518	868.16577	879.84154	898.07124	900.38502	922.05197	1011.07228	1046.27958	1089.5629	1115.20859	1150.69353	1179.96419	1192.90249	1248.22654	1276.46573	1301.17766	1335.68246	1389.72634	1419.29898	1478.55492	1493.37839	1579.4848	1598.94301	1655.01571	1797.30168	3163.40522	3175.8833	3214.48126	3215.4004	3246.46976	3276.43639
x	C	4	12	0	0	0	0.08493	0	0	-0.09944	-0.30946	0	0	-0.01763	0.28112	0	0.26637	0	0.08499	0	0.18194	0	0	-0.16806	0	0.31303	0	0	-0.11339	0	-0.06459	0	0.03218	-0.25225	-0.03852	0.04184	-0.04598	0.01322	0.06297	0.01762	0.0069	0.04787	-0.12409	-0.0217	-0.18666	0.14657	-0.03843	-0.21449	-0.38366	0.08407	-0.02747	0.00488	-0.25183	-0.01024	-0.00063	-0.00003
y	C	4	12	0	0	0	-0.09653	0	0	0.13022	-0.09396	0	0	-0.21562	0.2872	0	-0.16927	0	-0.25613	0	0.1352	0	0	-0.15973	0	0.15256	0	0	-0.14456	0	-0.19071	0	0.03426	-0.25912	0.05386	0.08014	0.06638	0.16559	0.09016	-0.09042	0.04867	0.03291	0.03011	0.38076	0.11031	-0.25157	0.04425	0.09311	0.23954	-0.11766	-0.02845	0.0038	-0.13907	-0.00539	-0.0005	-0.00006
z	C	4	12	0.00553	0.51087	-0.06009	0	-0.3764	0.09985	0	0	-0.29364	0.08895	0	0	-0.00114	0	-0.03999	0	0.0754	0	-0.1846	-0.02695	0	0.36872	0	-0.03604	-0.04588	0	-0.12465	0	0.27758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x	C	5	12	0	0	0	0.15191	0	0	-0.06499	-0.24438	0	0	0.27016	0.23426	0	0.20703	0	0.12167	0	0.17813	0	0	-0.07425	0	0.05522	0	0	0.05667	0	0.10241	0	0.00289	0.01697	-0.00124	-0.04783	0.12685	0.04478	0.02036	-0.11131	-0.04171	-0.04504	0.08297	-0.29548	0.07693	0.11935	0.00097	0.27351	0.4662	-0.01093	-0.02044	0.00146	0.01699	0.00104	-0.00011	-0.00001
y	C	5	12	0	0	0	0.09839	0	0	0.15348	-0.06441	0	0	0.24256	0.11931	0	-0.3631	0	-0.29372	0	0.25085	0	0	-0.14294	0	-0.36997	0	0	0.18719	0	0.09993	0	-0.03064	-0.12113	-0.1281	-0.09021	-0.03296	-0.17926	0.07103	-0.13348	0.03418	-0.02348	0.07324	-0.2138	-0.04791	0.20408	-0.0445	-0.0286	-0.16622	0.01781	0.28123	-0.03156	-0.05202	-0.00173	-0.00055	0.00007
z	C	5	12	0.15553	0.27228	0.04543	0	0.2931	-0.14632	0	0	0.45556	-0.10602	0	0	-0.01026	0	0.18988	0	-0.14173	0	0.21851	0.03912	0	0.2008	0	-0.02596	-0.04761	0	-0.08663	0	-0.40792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x	C	6	12	0	0	0	0.00021	0	0	0.02723	-0.08373	0	0	0.18815	0.31392	0	-0.06908	0	-0.00184	0	-0.09054	0	0	0.03134	0	-0.17624	0	0	0.02849	0	-0.08948	0	-0.03353	0.1921	0.04293	0.08109	-0.16146	0.10642	-0.32342	0.02084	-0.36946	-0.11452	0.14287	-0.03387	0.16617	-0.4549	0.118	-0.0695	-0.00215	-0.04087	-0.00765	-0.00839	0.00418	-0.0004	0.00089	0.00014
y	C	6	12	0	0	0	0.28341	0	0	0.0432	-0.1391	0	0	0.23072	-0.21283	0	-0.01215	0	-0.10237	0	0.17194	0	0	-0.0087	0	-0.02174	0	0	0.00125	0	0.04942	0	-0.00759	0.24054	0.08671	0.06135	0.0491	0.17384	-0.09121	0.34747	0.00248	0.03835	-0.53717	0.09762	-0.15996	-0.11614	0.06991	-0.28932	0.12741	-0.02158	-0.00102	0.00149	0.00168	0.00147	-0.00036	-0.00078
z	C	6	12	0.20347	-0.16723	0.08946	0	0.38651	-0.12436	0	0	-0.15348	0.43681	0	0	-0.07164	0	0.23632	0	0.09192	0	-0.49231	-0.1652	0	-0.13772	0	0.03822	0.11441	0	0.2225	0	0.07558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x	C	7	12	0	0	0	-0.02101	0	0	-0.08661	-0.00646	0	0	0.0104	0.01266	0	-0.36907	0	0.12827	0	-0.0731	0	0	0.1651	0	0.169	0	0	0.04231	0	0.09886	0	-0.01441	0.14519	-0.22416	-0.07911	-0.2883	0.02226	0.14951	-0.13376	-0.36721	0.07868	-0.08425	0.23702	-0.428	0.0242	-0.03084	0.21413	-0.08622	0.05961	0.00061	-0.00007	0.00039	0.01086	0.0002	0.00019
y	C	7	12	0	0	0	0.28497	0	0	0.04432	-0.15628	0	0	0.16302	-0.2068	0	-0.01205	0	0.09064	0	-0.18199	0	0	-0.02303	0	-0.01587	0	0	-0.0773	0	-0.17271	0	0.06916	-0.07474	0.12616	0.07792	0.0849	0.16276	0.00352	0.41109	-0.06052	0.17732	0.44162	0.08286	-0.02454	0.09628	-0.1134	0.37444	-0.19791	0.04336	-0.00181	0.00319	-0.00034	0.00595	0.00083	0.00057
z	C	7	12	0.28774	-0.1449	-0.07652	0	0.04552	-0.24223	0	0	-0.12226	0.43626	0	0	-0.05252	0	-0.53963	0	-0.07382	0	0.38746	0.14086	0	0.07559	0	0.0421	-0.25959	0	0.02351	0	0.01142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x	C	8	12	0	0	0	0.08718	0	0	0.09542	0.00266	0	0	0.01542	-0.16678	0	-0.2565	0	0.30616	0	0.09667	0	0	0.25737	0	0.08403	0	0	-0.0572	0	-0.24558	0	-0.0041	-0.08223	-0.19236	-0.08155	-0.00889	0.09196	0.07289	-0.0453	0.09289	0.04481	-0.25282	-0.01404	0.40304	0.20359	-0.11895	0.0632	0.23113	-0.02959	-0.00039	0.00031	-0.00108	0.03055	-0.00061	-0.00127
y	C	8	12	0	0	0	0.21397	0	0	-0.18667	-0.00309	0	0	0.17006	0.00239	0	-0.21621	0	0.01218	0	-0.56846	0	0	-0.1542	0	0.23041	0	0	-0.19091	0	0.05709	0	0.00335	-0.03151	0.05766	0.04026	-0.10262	-0.11613	0.16818	-0.18334	0.10256	-0.14484	0.01989	-0.10564	0.15628	0.02438	0.09113	-0.27948	0.06054	-0.01771	0.00031	-0.00405	0.01154	-0.2889	-0.00073	0.00191
